"Asset ID","Asset No.",Date,Time(EDT),Speed(MPH),Heading,"Log Reason","Distance Traveled(Miles)",Lat,Lon,Zone,"Fuel Counter(Gallon)",Acceleration(Miles/Hour/Sec),"Status Mask",Address
87,022027,2015-07-24,08:16:47,25.5,"North East",Standard,0.7,42.0691475,-71.0404241,"BROCKTON HIGH SCHOOL","17,218.21",,40991,"Memorial Dr, Brockton, MA 02301"
101,022051,2015-07-24,08:16:52,24,"South East East",Standard,0.8,42.0698464,-71.0391451,"BROCKTON HIGH SCHOOL","17,025.62",15.66,40991,"452 Forest Ave, Brockton, MA 02301"
87,022027,2015-07-24,08:17:02,0,"North East","Motion Stop",0.7,42.0700118,-71.0397644,"BROCKTON HIGH SCHOOL","17,218.21",2.24,42015,"Memorial Dr, Brockton, MA 02301"
87,022027,2015-07-24,08:17:03,8,"North East","Motion Start",0.7,42.0700252,-71.0397413,"BROCKTON HIGH SCHOOL","17,218.21",33.55,42015,"Memorial Dr, Brockton, MA 02301"
321,"MB033 - 051073",2015-07-24,08:17:06,16.3,"South South West",Standard,1.3,42.4167291,-71.0469529,Massachusetts,0.00,-24.61,8223,"780 Broadway, Everett, MA 02149"
101,022051,2015-07-24,08:17:10,22,"South South East",Standard,0.9,42.0694088,-71.0374843,Massachusetts,"17,025.62",13.42,40991,"6 Gordon St, Brockton, MA 02301"
87,022027,2015-07-24,08:17:21,12.7,"North East East",Standard,0.8,42.0697084,-71.0379673,Massachusetts,"17,218.21",-8.95,40991,"430 Forest Ave, Brockton, MA 02301"
321,"MB033 - 051073",2015-07-24,08:17:28,8.3,"South South West",Standard,1.4,42.4158978,-71.0476501,Massachusetts,0.00,-22.37,8223,"748 Broadway, Everett, MA 02149"
101,022051,2015-07-24,08:17:28,9.5,"South South East",Standard,1,42.0679656,-71.0370206,Massachusetts,"17,025.62",-24.61,40991,"85 Gordon St, Brockton, MA 02301"
101,022051,2015-07-24,08:17:31,0,"South East","Motion Stop",1,42.0679094,-71.0369658,Massachusetts,"17,025.62",-26.84,42015,"91 Gordon St, Brockton, MA 02301"
